,hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
22015,8114796,1,2,75071,TX,26,9,1
22016,8114840,1,2,81501,CO,21,2,1
22017,8114875,1,2,97479,OR,11,2,1
22018,8114898,1,2,98012,WA,17,1,5
22019,8114985,1,2,81504,CO,17,3,1
22020,8115076,1,2,81504,CO,4,1,5
22021,8115342,1,2,41179,KY,19,2,1
22022,8115396,1,2,52544,IA,26,2,1
22023,8115449,1,2,94561,CA,26,2,1
22024,8115890,1,2,20132,VA,27,4,1
22025,8115933,1,2,56110,MN,16,2,1
22026,8116078,1,2,98122,WA,27,3,1
22027,8116338,1,2,63109,MO,18,1,1
22028,8303032,1,2,84056,UT,26,5,3
22029,8303591,1,2,63740,MO,19,2,1
22030,6015889,1,2,72645,AR,13,1,1
22031,6210743,1,2,18104,PA,21,1,1
22032,8000721,1,2,98109,WA,26,1,5
22033,8256860,1,2,74501,OK,11,1,1
22034,8257556,1,2,73701,OK,19,4,1
22035,8257634,1,2,40391,KY,26,2,1
22036,8257699,1,2,42350,KY,21,2,1
22037,8214659,4,1,61443,IL,19,5,1
22038,8214730,1,1,80236,CO,16,4,1
22039,8215067,2,2,62203,IL,19,4,1
22040,8215391,1,2,63050,MO,21,2,1
22041,8215639,1,2,80219,CO,16,5,3
22042,8215861,2,2,60130,IL,13,1,5
22043,8215906,1,2,80202,CO,17,1,5
22044,8216038,1,2,37601,TN,15,1,1
22045,8216399,1,1,34465,FL,19,4,1
22046,8216530,4,1,80211,CO,19,4,1
22047,8216818,4,2,98464,WA,21,2,1
22048,8217166,2,2,19968,DE,26,3,1
22049,8217178,1,2,98466,WA,17,1,1
22050,8217225,1,2,98465,WA,23,1,6
22051,8002114,1,2,34613,FL,8,1,1
22052,8002116,1,2,34613,FL,16,1,7
22053,8002482,4,2,34601,FL,4,1,5
22054,8002955,1,2,34608,FL,16,2,1
22055,8003222,1,2,34601,FL,11,1,1
22056,8003223,1,2,34609,FL,15,2,1
22057,8004376,1,2,34613,FL,17,2,1
22058,8004377,1,2,34606,FL,19,5,1
22059,8004937,1,2,93110,CA,26,1,5
22060,8005059,1,2,34601,FL,18,2,1
22061,8007158,1,2,43338,OH,18,2,1
22062,8007167,1,2,43338,OH,15,4,7
22063,8229155,1,2,3602,NH,13,1,1
22064,8229488,1,2,54901,WI,16,2,1
22065,8229579,1,2,63121,MO,10,2,1
22066,8213727,1,2,79601,TX,19,2,1
22067,8213729,1,2,79603,TX,15,3,1
22068,8214104,4,1,92117,CA,10,2,5
22069,8283918,2,2,43230,OH,15,1,5
22070,8283922,1,2,43212,OH,13,1,5
22071,8284215,1,2,43026,OH,13,3,1
22072,8284371,4,1,10566,NY,27,4,5
22073,8284606,2,2,43211,OH,21,3,1
22074,8284775,4,2,95350,CA,19,5,1
22075,8284893,1,2,43119,OH,21,1,1
22076,8285092,1,2,14437,NY,11,1,1
22077,8285113,1,2,28638,NC,15,4,1
22078,8285173,2,2,43068,OH,8,2,5
22079,8285181,1,2,43081,OH,13,1,5
22080,8285332,1,2,10701,NY,6,1,3
22081,8285579,1,2,74344,OK,11,1,7
22082,8285594,1,2,42728,KY,23,3,1
22083,8285914,4,1,79415,TX,13,5,1
22084,8286175,1,2,43206,OH,27,2,1
22085,8286466,1,2,95864,CA,27,2,1
22086,8215173,2,2,80010,CO,21,2,1
22087,8257436,1,2,36608,AL,11,2,1
22088,8257439,1,1,36575,AL,21,2,1
22089,8257440,1,2,36693,AL,19,1,1
22090,8257639,1,2,40502,KY,18,1,1
22091,8257644,1,2,40505,KY,21,3,1
22092,8257649,1,2,40517,KY,26,3,1
22093,8257707,1,2,36318,AL,18,3,1
22094,8258181,2,2,36695,AL,26,4,1
22095,8258384,1,2,37135,TN,16,3,3
22096,8258569,1,2,40504,KY,11,1,6
22097,8259169,1,2,40503,KY,16,1,1
22098,8259196,1,2,37705,TN,17,1,1
22099,8259707,2,2,37014,TN,15,1,7
22100,8259835,1,2,74637,OK,10,1,1
22101,8214792,1,2,2745,MA,15,1,3
22102,8214841,4,2,28311,NC,15,2,1
22103,8215090,1,2,15601,PA,19,1,1
22104,8215222,1,2,55420,MN,18,1,3
22105,8143512,1,2,56345,MN,11,1,1
22106,8143631,1,2,63069,MO,6,2,1
22107,8297031,1,2,50314,IA,15,1,1
22108,8297049,1,1,31548,GA,15,4,5
22109,8297131,2,2,35810,AL,21,4,1
22110,8213680,4,1,77904,TX,21,2,1
22111,8213686,1,2,77905,TX,13,4,1
22112,8214131,1,2,93536,CA,13,1,1
22113,8214910,1,2,53219,WI,13,1,1
22114,8215340,1,1,53214,WI,18,3,3
22115,8215500,2,2,53208,WI,13,4,3
22116,8215664,3,2,91351,CA,26,5,1
22117,8215929,4,1,90242,CA,26,3,1
22118,8216239,4,2,6468,CT,26,4,1
22119,8216709,4,1,91766,CA,23,4,1
22120,8217003,1,2,33919,FL,11,3,1
22121,8217128,4,1,91605,CA,13,5,1
22122,8217377,2,2,90303,CA,13,4,5
